Title,Director,Cast,Genre,Notes,Ref.,Year,index
Khurafat,Syamsul Yusof,"Syamsul Yusof, Liyana Jasmay, Sabrina Ali, Salina Saibi, Zendy, Fauziah Nawi, Nur Huda, Mariani, Latif Borgiba, Along Eyzendy",Horror,Skop Productions Grand Brilliance,,2011,1
Great Day,Chiu Keng Guan,"Jack Lim, Wan Wai Fun, Vivian, Jiang Han, Royce Tan",Comedy / Drama,Cantonese-language film,,2011,2
HAQ,"C.L. Hor, Jumaatun Azmi","Zul Huzaimy, Adi Putra, Nanu Baharuddin, Raja Farah",Action / Drama,,,2011,3
Sini Ada Hantu,James Lee,"Alvin Wong, Baki Zainal, Mano Maniam, Eira Syazira, Kuswadinata, Fasha Sandha, Patrick Teoh, Pete Teo, Ramasundram",Horror / Mystery / Thriller,Astro Shaw,,2011,4
Kembar Siang,Hatta Azad Khan,"Kamal Adli, Intan Ladyana, Mat Over, Zul Handyblack, Zaibo, Rozita Che Wan, Lan Pet Pet, Sabri Yunus",Comedy,Metrowealth Pictures,,2011,5
Hikayat Merong Mahawangsa,Yusry Abdul Halim,"Stephen Rahman Hughes, Khir Rahman, Ummi Nazeera, Jehan Miskin, Jing Lu, Deborah Henry, Umie Aida",Historical / Action / Epic / War,KRU Studios,,2011,6
Ratu The Movie,Abdul Razak Mohaideen,"Eizlan Yusof, Fouziah Ghous, Yusry Abdul Halim, Azlee Khairi, Zaibo, Aminah Rhapor, Cico Harahap",Adventure / Drama / Mystery,Lineclear Motion Pictures,,2011,7
...Dalam Botol,Khir Rahman,"Arja Lee, Wan Raja, Fauziah Ahmad Daud, Diana Danielle",Drama,,,2011,8
Cun,Osman Ali,"Remy Ishak, Maya Karin, Ning Baizura, Jehan Miskin",Comedy / Family / Romance,Tayangan Unggul,,2011,9
Dilarang Masuk,Jeffrey Chan,"Shiqin Kamal, Azma Aizal Yusoof, Muniff Isa, Isma Hanum Husein, Esma Daniel",Thriller / Horror,,,2011,10
Senjakala,Ahmad Idham,"Zahiril Adzim, Liyana Jasmay, Faezah Elai, Aida Aris, Ruminah Sidek, Kamal Adli",Horror,Excellent Pictures,,2011,11
Penunggu Istana,Wan Hasliza,"Siti Nadhirah Mohd Zain (Adeek), Sara Ali, Nor Zafirah Abd Rahim, Amar Asyraf Zailuddin",Horror,Grand Brilliance Primeworks Studios,,2011,12
Seru,"Pierre Andre, Ming Jin","Pierre Andre, Nora Danish, Awal Ashaari, Cut Mutia, Azman Hassan, Sharnaaz Ahmad, Nisha Dirr",Horror / Mystery / Thriller,Tayangan Unggul,,2011,13
Momok Jangan Panggil Aku,M. Jamil,"M. Jamil, Cassandra Patrick, Ariff S. Shamsuddin, Zarina Zainuddin",Horror,,,2011,14
Kongsi,Farid Kamil,"Fizo Omar, Shaheizy Sam, Zul Handyblack, Azad Jasmin, Putri Mardiana, Fida, Yana Samsudin",Action / Comedy,Metrowealth Pictures,,2011,15
Nur Kasih The Movie,Kabir Bhatia,"Remy Ishak, Tiz Zaqyah, Fizz Fairuz",Drama,"Grand Brilliance, Juita Videi Filmspace",,2011,16
Karak,Yusry Abdul Halim,"Shera Aiyob, Shahir Zawawi, Kilafairy, Along Eyzendy",Horror/ Thriller,KRU Studios,,2011,17
Toyol Nakal,,"Joey Exist, Julia Ziegler, Aaron Frando, Abon, Mr. Os, Mimi M. Borhan",Comedy / Drama,,,2011,18
KL Gangster,Syamsul Yusof,"Aaron Aziz, Adi Putra, Syamsul Yusof, Ridzuan Hashim, Sofi Jikan, Zizan Razak",Action,,,2011,19
3 2 1 Cinta,Azhari Mohd Zain,"Farid Kamil, Diana Amir, Pierre Andre",Romance / Comedy,,,2011,20
Rasuk,S. Baldev Singh,"Fouziah Ghous, Iqram Dinzly, Sidek Hussain, Fauziah Nawi, Khir Mohd Noor",Horror / Thriller,White Mapert Entertainment,,2011,21
Sekali Lagi,Hashim Rejab,"Shaheizy Sam, Mia Sara Nasuha, Lisa Surihani, Bront Palarae",Romance,Metrowealth Pictures,,2011,22
Tolong Awek Aku Pontianak,James Lee,"Zahiril Adzim, Sazzy Falak, Liyana Jasmay, Afdlin Shauki, Nurul Wahab, Jehan Miskin, Harun Salim Bachik",Horror / Comedy / Romance,Tayangan Unggul,,2011,23
Flat 3A,Azhari Mohd Zain,"Intan Ladyana, Ery Zukhairi, Shasha",Horror,Metrowealth Pictures,,2011,24
Senario The Movie: Ops Pocot,Ismail Bob Hasim,"Azlee Jaafar, Lan Pet Pet, Wahid Mohamed, Diana Amir, Mas Muharni, Kamal Adli",Comedy,Metrowealth Pictures,,2011,25
Karipap-Karipap Cinta,Othman Hafsham,"Gambit Saifullah, Melia Aimellia, Eman Manan",Comedy / Romance,,,2011,26
Hantu Bonceng,Ahmad Idham,"Zizan Razak, Juliana Evans, Jue Aziz, Sallehudin (Tai)",Horror / Comedy,Excellent Pictures,,2011,27
Nasi Lemak 2.0,Namewee,"Namewee, Adibah Noor, Afdlin Shauki, Karen Kong, Felixia Yeap, David Arumugam, Denise Lau, Nur Fathia, Ho Yuhang, Pete Teo",Comedy / Drama,Mandarin-Cantonese-Malay-language film,,2011,28
Raya Tak Jadi,Abdul Razak Mohaideen,"Saiful Apek, Johan Raja Lawak, Jalaluddin Hassan, Wan Sharmila",Comedy / Family,"Grand Brilliance, Lineclear Motion Pictures",,2011,29
Bini-Biniku Gangster,Ismail Bob Hasim,"Shaheizy Sam, Intan Ladyana, Yana Samsudin, Zul Handyblack",Action / Comedy,Metrowealth Pictures,,2011,30
Libas,Jurey Latiff Rosli,"Rosyam Nor, Johan, Scha Alyahya, Beego, Fadzly Kamarulzaman",Action / Comedy,,,2011,31
Al-Hijab,Pierre Andre,"Pierre Andre, Maimon Mutalib, Aziz M. Osman, Nur Fathia, Pekin Ibrahim",Horror,,,2011,32
Klip 3GP,Aidilfitri Mohd Yunus,"Zahiril Adzim, Sara Ali, Mimie, Adeline Anthony, Amanda Misbun, Fikhree Abu Bakar",Thriller / Drama / Horror / Mystery,Grand Brilliance,,2011,33
Sumpahan Puaka,Surenthar,"Imuda, Mislina Mustaffa, Maimon Mutalib",Horror / Family / Mystery,,,2011,34
Apa Tengok-Tengok,Roy Krishnan,"Jalaluddin Hassan, Sathiya, David Arumugam, Mahyon Ismail, Dilla Ahmad, Kuswadinata, Zulkifli Ismail",Action / Comedy / Drama / Musical,,,2011,35
"Alamak, Toyol!",Ismail Bob Hasim,"Along Cham, Angah Raja Lawak, Hamid Gurkha",Horror / Comedy,Metrowealth Pictures,,2011,36
Abuya,Imran Ismail,"Faizal Hussein, Jue Aziz, Yank Kassim, Adrea Abdullah",Action / Drama,,,2011,37
Aku Bukan Tomboy,Syamsul Yusof,"Syamsul Yusof, Scha Alyahya, Shaheizy Sam, Eira Syazira, Harun Salim Bachik",Comedy / Romance / Drama,Skop Productions,,2011,38
Misteri Jalan Lama,Afdlin Shauki,"Que Haidar, Hans Isaac, Vanida Imran, Nasir Bilal Khan, Namron",Action / Adventure / Fantasy / Mystery / Fiction,Tayangan Unggul,,2011,39
Ombak Rindu,Osman Ali,"Aaron Aziz, Maya Karin, Lisa Surihani, Bront Palarae",Drama / Romance,Based on the novel of the same name,,2011,40
Datin Ghairah,Sabree Fadzil,"Aaron Aziz, Maria Farida, Hairie Othman, Faizal Hussein, Yank Kassim",Comedy / Romance,,,2011,41
Songlap,Effendee Mazlan,"Shaheizy Sam, Syafie Naswip, Sara Ali",Action / Drama / Crime,Grand Brilliance Red Films,,2011,42
Suatu Malam Kubur Berasap,Ernie Chen,"Angah Raja Lawak, Along Cham, Azrul Cham, Ernie Chen, Nurul Ain Nordin, Zac Diamond",Horror / Comedy,,,2011,43
Papa I Love You,Hashim Rejab,"Lisa Surihani, Mia Sara Nasuha, Zalif Sidek, Zaidi Omar, Syanie, Zul Handyblack",Comedy / Drama,Metrowealth Pictures,,2011,44
Sesuatu Yang Tertinggal,Asrull Hisyam,"Zahiril Adzim, Sara Ali, Shera Aiyob, Namron",Horror,Grand Brilliance,,2012,45
Keramat,Azhari Mohd Zain,"Zul Handyblack, Rebecca Nur Al Islam, Diana Amir, Alex Yanz, Putri Mardiana, Mon Ryanti, Adey Syafrien, Hairul Azreen",Horror,Metrowealth Pictures,,2012,46
Bujang Telajak,Abdul Razak Mohaideen,"Saiful Apek, Nabil Ahmad, Johan Raja Lawak, Fazura, Mustapha Kamal",Comedy,LineClear Motion Pictures,,2012,47
Ah Beng The Movie : Three Wishes,Silver Yee,"Jack Lim, Gan Mei Yan",Comedy,The Film Engine Cantonese-language film,,2012,48
Sumpahan Kum Kum,Ismail Bob Hasim,"Fezrul Khan, Putri Mardiana, Wawa Zainal, Shima Anuar, Lydiawati",Horror,Metrowealth Pictures,,2012,49
Azura,Aziz M. Osman,"Neelofa, Shahz Jaszle, Afdlin Shauki, Erma Fatima",Drama / Romance,Ace Motion Pictures,,2012,50
Hantu Dalam Botol Kicap,Azhari Mohd Zain,"Wawa Zainal, Mikail Andre, Mon Ryanti, Zalif Sidek, Epy Raja Lawak, Azrol Anwar, Angah Raja Lawak",Comedy / Horror,Metrowealth Pictures,,2012,51
Chantek,Pierre Andre,"Pierre Andre, Maimon Mutalib, Nurul Ekasari, Kim Watt, Abon",Drama / Romance,Empat Semudra Plantation,,2012,52
Adnan Sempit 2,Ismail Bob Hasim,"Shaheizy Sam, Intan Ladyana, Yana Samsudin, Angah Raja Lawak Along Raja Lawak, Ahmad Tarmimi Siregar, Aznah Hamid",Comedy,"Metrowealth Pictures
Preceded by Adnan Sempit (2010)",,2012,53
Fist of Dragon,Michael Chuah,"Michael Chuah, Steve Yap, Fiona Xie, Henry Thia, Wang Xiao-chen",Action / Martial Arts,"Evo Pictures
Mandarin-language film",,2012,54
Cinta Kura-Kura,Nizam Zakaria,"Aeril Zafrel, Tiz Zaqyah, Zizan Razak, Shy8, Farah Fauzana, Bob AF2, Fizz Fairuz, Harun Salim Bachik, Norhayati Taib, Munir",Comedy / Romance,KRU Studios,,2012,55
Bunohan,Dain Said,"Faizal Hussein, Zahiril Adzim, Pekin Ibrahim, Wan Hanafi Su, Bront Palarae, Namron, Sofi Jikan",Action / Drama,Apparat,,2012,56
SeeFood,Goh Aun Hoe,"Gavin Yap, Diong Chae Lian",Adventure / Comedy / Animation,"Silver Ant
English-language film",,2012,57
7 Petala Cinta,Azhari Mohd Zain,"Aeril Zafrel, Diana Amir, Fizo Omar, Shima Anuar, Putri Mardiana",Drama / Romance,Metrowealth Pictures,,2012,58
Jidin Sengal,Esmi Zahara Yusof,"Angah Raja Lawak, Along Raja Lawak, Azrul Raja Lawak, Zac Diamond, Faezah Elai, Jue Aziz",Comedy / Romance,Outloud Studios,,2012,59
Jangan Pandang-Pandang,Ahmad Idham,"Zizan Razak, Sara Ali, Nas-T, Miera Leyana, Anith Aqilah, Azhar Sulaiman",Comedy,Excellent Pictures,,2012,60
3 Temujanji,Hashim Rejab,"Yana Samsudin, Pierre Andre, Kamal Adli, Diana Amir",Comedy / Romance,Metrowealth Pictures,,2012,61
Uncle Usin,Husri Husain,"Zizan Razak, Johan Raja Lawak, Nabil Ahmad, Shiqin Kamal, Ebby Yus",Action / Comedy,Sketch Seven,,2012,62
Berani Punya Budak,Afdlin Shauki,"Afdlin Shauki, Nabil Ahmad, Johan Raja Lawak, Awie, Adlin Aman Ramli, Sharifah Sofia",Action / Comedy,Ismail Holding & Vision Works,,2012,63
Chow Kit,"Rosihan Zain, Brando Lee","Beto Kusyairi, Dira Abu Zahar, Muhamad Izzam Izzudin, Muhamad Izzam Syafiq, Muzhaffar Shah Shahrul Asran, Nur Nadzirah Rosi, Mers Sia",Action / Crime,Grand Brilliance,,2012,64
Nongkrong,Ismail Bob Hasim,"Shaheizy Sam, Angah Raja Lawak, Epy Kodiang",Comedy / Horror,Metrowealth Pictures,,2012,65
Ghost Buddies,Simon Sek,"Mark Lee, Maggie Shiu Mei Kei, Vivian Tok, Lim Ching Miau",Comedy / Horror,"Double Vision Pictures
Mandarin-Hokkien-language film",,2012,66
Mantera,Mohd Aliyar Al-Kutthy,"Tomok, Shiqin Kamal, Kamaliya, Wael Al-Masri, Said Dashuk-Nighmatulin, Mikhail Dorojkin, Faezah Elai, Yank Kassim",Science Fiction / Fantasy,"Flare Studios Malay-
English-language film",,2012,67
You Believe In Ghost?,M. Subash Abdullah,"Eric Chen, Rabbit Chen, Yow Lan",Horror,"Genius Parade
Mandarin-language film",,2012,68
"Aku Ada, Kau Ada???",Rahila Ali,"Yana Samsudin, Shaheizy Sam, Kamal Adli",Comedy / Romance / Musical,Pencil Pictures,,2012,69
Hoore! Hoore!,Saw Teong Hin,"Akim, Kilafairy, Nurfarah Nazirah, Harun Salim Bachik, Adibah Noor, Sahronozam Noor, Aznil Nawawi, Fauziah Nawi",Romance / Musical,Astro Shaw-Real Pictures co-production,,2012,70
Man Sewel Datang KL,Rahman Adam,"Shuib Sepah, Julia Ziegler, Razali Hussain, Siti Sarah Raisudin, Rafidah Ibrahim",Comedy,Work Move Productions,,2012,71
Gerimis Mengundang,Ahmad Idham,"Kamal Adli, Olivia Jensen Lubis",Romance / Musical,"E-Rama Creative
Adapted from the play of the same name",,2012,72
X,Ahmad Rusli Mohamed Khadri,"Pierre Andre, Diana Amir, Intan Ladyana, Nuremynadia Ramli, Siti Chubby",Comedy / Romance,Metrowealth Pictures,,2012,73
Jalan Kembali: Bohsia 2,Syamsul Yusof,"Salina Saibi, Nabila Huda, Syamsul Yusof, Sofi Jikan, Zizan Razak, Hetty Sarlene, Harun Salim Bachik",Drama / Crime,"Skop Productions-Primeworks Studios
Preceded by Bohsia: Jangan Pilih Jalan Hitam (2009)",,2012,74
Jiwa Taiko,Osman Ali,"Remy Ishak, Diana Danielle, Nadiya Nisaa, Bront Palarae, Fizz Fairuz, Mislina Mustafa",Action / Drama,Nuansa Production,,2012,75
Tears of the Mom,Yoko Chou,"Amber Chia, Yap Chou Chuen, Johnson Low, Anita Phang, Hero Tai, Kimura Takahiro, Azzaly Ismail",Drama / Romance / Family,"Shining Production
Mandarin-language film",,2012,76
Hanya Aku Cinta Kau Seorang,Ahmad Rusli Mohamed Khadri,"Aeril Zafrel, Nuremynadia Ramli, Fezrul Khan, Mon Ryanti, Liza Abdullah",Romance,Metrowealth Pictures,,2012,77
Mael Lambong,Ahmad Idham,"Zizan Razak, Juliana Evans, Taiyuddin Bakar, Shenthy Feliziana",Action,Excellent Pictures,,2012,78
Baik Giler!!,Mansor Akob,"Zizan Razak, Awie, Farawahida, Justin Choo, Esma Daniel, Sharifah Shahirah, Abon, Kenchana Dewi",Comedy,Layar Dimensi,,2012,79
"Aku, Kau dan Dia",Pierre Andre,"Remy Ishak, Sharifah Zarinatasha, Pekin Ibrahim, Marisa Yasmin, Harun Salim Bachik, Pierre Andre",Drama / Romance,Tayangan Unggul,,2012,80
8 Jam,Ahmad Idham,"Shaheizy Sam, Yana Samsudin, Fimie Don, Erynne Erynna, Lydiawati, Eizlan Yusof, Aziz Singah",Action / Drama,Metrowealth Pictures,,2012,81
Momok Jangan Cari Pasal!,M. Jamil,"M. Jamil, Sheril Aida, Wan Raja, Myza Aryqa, P. Prem Anand Pillai, Ruminah Sidek",Comedy / Thriller / Musical,Galaksi Seni,,2012,82
Karma Reborn,M. Subash Abdullah,"Susan Leong, Rabbit Chen, Eric Chen, Mak Jah, Alice Yap",Thriller / Horror / Suspense,"Genius Parade
Cantonese-language film",,2012,83
Hantu Gangster,Namewee,"Namewee, Farid Kamil, Diana Danielle",Comedy / Horror,Prodigee Media Malay & Mandarin- language film,,2012,84
SAM,Syafiq Yusof,"Shaheizy Sam, Lisa Surihani, Syamsul Yusof, Neelofa, Azad Jasmin",Thriller / Romance,Skop Productions,,2012,85
Seram Sejuk,Azhari Mohd Zain,"Angah Raja Lawak, Zul Handyblack, Wawa Zainal, Eddy Afro, Fyza Kadir",Comedy / Horror,I-Insan Multimedia,,2012,86
Leftwings,Faisal Chal Ahmad,"Aweera, Zouladeq, Wan Zaimie, Paly Rockstars, Ebi Kornelis, Shiqin Kamal",Musical,Bagus Tiasa,,2012,87
29 Februari,Edry Abdul Halim,"Remy Ishak, Jojo Goh, Izzue Islam",Drama,KRU Studios,,2012,88
Salam Cinta,Azhari Mohd Zain,"Kamal Adli, Diana Amir, Razak Ahmad",Romance,Metrowealth Pictures,,2012,89
Hantu Air,Murali Abdullah,"Saiful Apek, Hairi Safwan, Nisha Dir",Comedy / Horror,Multimedia Entertainment,,2012,90
Halim Munan,Hashim Rejab,"Fizo Omar, Zul Handyblack, Intan Ladyana",Comedy / Horror,RR Empire,,2012,91
Kepong Gangster,Teng Bee,"Melvin Sia, Henley Hii, Hero Tai, Rayz Lim, Billy Ng",Action / Crime,"Mahu Pictures
Mandarin-, Cantonese-language film",,2012,92
Untuk Tiga Hari,Afdlin Shauki,"Afdlin Shauki, Rashidi Ishak, Vanida Imran, Ayu Raudhah",Drama / Romance,Astro Shaw,,2012,93
Aji Noh Motor,Mohd Razif Rashid,"Alex Yanz, Zalif Sidek, Wawa Zainal, Epy Raja Lawak",Comedy,MIG Pictures,,2012,94
Hantu Kapcai,Ghaz Abu Bakar,"Zizan Razak, Fizz Fairuz, Remy Ishak, Hairul Azreen, Izzue Islam, Neelofa",Comedy / Horror,KRU Studios,,2012,95
Sofazr The Movie: Jiwa Kacau,"Tauke Raja Lawak, Isma AF7","Wan Shahbaharin Niktah, Wan Shah Baharom Niktah, Ahmad Fairouz Mohamad, Amir Mahiyidin, Zarimi Zahari, Rodie Jamun, Angah Raja Lawak, Along Raja Lawak, Azrul Raja Lawak, Tauke Raja Lawak, Jep Sepah, Mamat Sepah, Saiful Apek, Hamid Gurkha, Yassin",Comedy / Horror,Nusanbakti Corporation,,2012,96
Taikun,Ismail Bob Hasim,"Angah Raja Lawak, Along Raja Lawak, Alex Yanz, Zul Suphian, Adey Syafrien",Action / Comedy,MIG Production,,2012,97
Ngorat,Abdul Razak Mohaideen,"Iedil Putra, Aaron Aziz, Erra Fazira",Comedy / Romance,Primeworks Studios,,2012,98
Aku Terima Nikahnya,Eyra Rahman,"Ady Putra, Nora Danish",Romance,Metrowealth Pictures,,2012,99
Cinta Beruang,Ramanarayanan,"Nabil Ahmad, Jue Aziz, Tauke Raja Lawak, Ropie Cecupak, Sathiya",Comedy,Fantastic Villa,,2012,100
PE3,Farid Kamil,"Farid Kamil, Kamal Adli, Diana Amir",Action / Comedy,Metrowealth Pictures,,2012,101
Vajram,M. Subash Abdullah,"M. Suurya, Yasmin Khanif, Mislina Mustaffa, Mariani",Romance,"Genius Parade
Tamil-language film",,2012,102
Apa Celop Toqq...,Ahmad Idham,"Hazama Azmi, Taiyuddin Bakar, Intan Ladyana, Shenthy Feliziana, Azad Jasmin",Comedy / Romance,Excellent Pictures,,2012,103
Budak Pailang,Hashim Rejab,"Aeril Zafrel, Wawa Zainal, Niezam Zaidi, Zalif Sidek, Epy Raja Lawak",Action,MIG Pictures,,2012,104
Zaiton: Ceritaku,Esma Daniel,Nadia Aqilah,Drama,Bruang Film,,2012,105
Aji Boy,Ismail Bob Hasim,"Rykarl Iskandar, Zalif Sidek, Epy Raja Lawak, Angah Raja Lawak, Adibah Yunus",Comedy,MIG Pictures,,2012,106
"Istanbul, Aku Datang",Bernard Chauly,"Lisa Surihani, Beto Kusyairy, Tomok, Aizat Amdan",Comedy / Romance,Primeworks Studios-Red Films co-production,,2012,107
War of the Worlds: Goliath,Joe Pearson,"Tony Eusoff, Jim Byrnes, Joey D'Auria, Matt Letscher, Adam Baldwin, Adrian Paul, Elizabeth Gracen, Mark Sheppard, Rob Middleton, Peter Wingfield",Action / Science Fiction / Animation,"Tripod Entertainment
English-language film",,2012,108
Pontianak vs Orang Minyak,Afdlin Shauki,"Nabil Ahmad, Johan Raja Lawak, Afdlin Shauki, Khir Rahman, Lana Nordin, Adibah Noor",Comedy,Vision Works,,2012,109
Sepah The Movie,MP Roslin Md Sharif,"Jep Sepah, Shuib Sepah, Mamat Sepah, Anzalna Nasir, Jehan Miskin",Comedy / Romance,PTV Film Production,,2012,110
Lagenda Budak Setan II: Katerina,Sharad Sharan,"Farid Kamil, Maya Karin, Bront Palarae",Drama / Romance,"Astro Shaw
Preceded by Lagenda Budak Setan (2010)",,2012,111
Strawberi Cinta,Ahmad Rusli Mohamed Khadri,"Pierre Andre, Yana Samsudin, Diana Amir",Romance,MIG Pictures,,2012,112
Adutha Khattam,Muralikrishnan Munian,"Devendran Arunasalam, Gantiban Ben, Malar Meni Perumal, Aghonderan Sahadevan, Sasitharan Rajoo",Thriller / Horror,"NGP Film
Tamil-language film",,2012,113
The Golden Couple,Ah Niu,"Mike He, Fiona Xie, Steve Yap",Comedy / Romance,"Asia Tropical Films
Mandarin-language film",,2012,114
Adik Manja Returns,Dharma Harun Al Rashid,"Dharma Harun Al Rashid, Faezah Elai, Juliana Evans, Rozita Che Wan, Jihan Raja Lawak",Comedy,Adik Manja,,2012,115
The Collector,James Lee,"Chew Kin Wah, Kwai Yuen, Jack Lim, Sunny Pang, Ramana Mohan, Nigel Kok, Yeo Yann Yann, Patrick Teoh",Action / Comedy,"Tayangan Unggul
Mandarin-, Cantonese-language film",,2012,116
Kahwin 5,Nizam Zakaria,"Shy8, Dian P. Ramlee, Adrea Abdullah, Norish Karman, Fizz Fairuz, Sofi Jikan, Anzalna Nasir, Marsha Milan Londoh",Comedy / Romance,KRU Studios,,2012,117
Prince of the City,Roslan Hussin,"Julian Cheah, Michael Madsen, Aaron Aziz, Jehan Miskin",Action,"Axis Line Entertainment
English-language film",,2012,118
Minyak Dagu,Azhari Mohd Zain,"Fezrul Khan, Yana Samsudin, Fizo Omar",Horror,MIG Pictures,,2013,119
Paper Moon,Stanley Law,"Gordon Lam, Chrissie Chau, Tedd Chan",Drama / Romance,"Double Vision
Mandarin-language film",,2013,120
The Amazing Safari,Goh Aun Hoe,"Gavin Yap, Diong Chae Lian",Adventure / Comedy / Animation,"Silver Ant
English-language film",,2013,121
Juvana,Faisal Ishak,"Zahiril Adzim, Johan As'ari, Syazwan Zulkfili, Sharnaaz Ahmad, Syafie Naswip, Adlin Aman Ramli, Shera Aiyob",Action / Drama,Filmscape,,2013,122
Ismail Bob Hasim,"Yana Samsudin, Angah Raja Lawak, Along Cham, Adibah Yunus",Comedy,"Metrowealth Pictures
A spin-off of the Adnan Sempit franchise",,,2013,123
"Hantu Kak Limah 2: Husin, Mon & Jin Pakai Toncit",Mamat Khalid,"Awie, Usop Wilcha, Delimawati, Avaa Vanja, Zami Ismail, Man Kadir, Rashidi Ishak",Comedy / Horror,"Tayangan Unggul
Preceded by Hantu Kak Limah Balik Rumah (2010)",,2013,124
The Wedding Diary 2,Adrian Teh,"Ah Niu, Elanne Kwong, Kara Hui, Jack Choo",Comedy / Romance,"Asia Tropical Films
Mandarin-language film Preceded By The Wedding Diary",,2013,125
Once Upon a Time,Silver Yee,"Jack Lim, Gan Mei Yan, Vivian Tok, Jeff Chin, Royce Tan",Comedy,"The Film Engine
Cantonese-language film",,2013,126
Kerat 14,Arjin Uppal,"Aaron Aziz, Siti Saleha, Fouziah Ghous",Action / Mystery / Suspense,White Merpati Entertainment,,2013,127
Gangster Celop,Ahmad Idham,"Syamsul Yusof, Kamal Adli, Hanis Zalikha, Yus Raja Lawak",Action / Crime,Excellent Pictures-Skop Production co-production,,2013,128
Pada Suatu Cinta Dahulu,Hashim Rejab,"Intan Ladyana, Niezam Zaidi, Wawa Zainal, Zalif Sidek, Aren Yunus",Comedy / Romance,Metrowealth Pictures,,2013,129
Rock Oo!: Rimba Bara Kembali,Mamat Khalid,"Que Haidar, Khir Rahman, Sofi Jikan, Pekin Ibrahim, Azmi Black",Drama / Musical,Primeworks Studios,,2013,130
Cerita Kita,Pierre Andre,"Yana Samsudin, Pekin Ibrahim, Fezrul Khan",Romance,Metrowealth Pictures,,2013,131
Lawak Ke Der 2,Hans Isaac,"Zizan Razak, Johan Raja Lawak, Afdlin Shauki, Harun Salim Bachik, Harith Iskander, Nabil Ahmad",Comedy,"Tall Order Production
Adapted from the stage play of the same name",,2013,132
Awan Dania The Movie,Rashid Sibir,"Scha Alyahya, Elly Mazlein, Rusdi Ramli, Jehan Miskin",Comedy / Romance,Tayangan Unggul,,2013,133
Ops Kossa Dappa 3,K. Annan Joseph,"Loganathan, Sasi Kumar, Jasmine Micheal, Buveni Ann Mayan, Nilasha, Amber Chia, Priyanka Kothari, Kadhal Dhandabani",Action / Science-Fiction,"ATV Pictures
Tamil-language film",,2013,134
Bola Kampung The Movie,Wong Kuan Loong,"Ezlynn, Afdlin Shauki, Harris Alif, Aznil Nawawi, Adila Shakir, Baki Zainal, Marsha Milan Londoh",Adventure / Animation,"Animasia Studios
Based on the television animation, Bola Kampung",,2013,135
Gila-Gila Remaja 2,V Nagaraj,"Hairul Azreen, Faralyna Idris, Fizz Fairuz, Taiyuddin Bakar",Action / Comedy,Megamovie,,2013,136
Sembunyi: Amukan Azazil,Kabir Bhatia,"Diana Danielle, Remy Ishak, Umie Aida, Sharnaaz Ahmad, Fizo Omar",Fantasy / Horror,Primeworks Studios,,2013,137
2 Kalimah,Eyra Rahman,"Shaheizy Sam, Nora Danish, Yana Samsudin, Wan Hanafi Su",Romance,MIG Pictures,,2013,138
Langgar,Syed Hussein Syed Mustafa,"Ady Putra, Hans Isaac, Namron, Khir Rahman, Natasha Hudson, Zul Huzaimy, Nadia Heng, Bell Ngasri",Action,Tayangan Unggul,,2013,139
Kecoh! Hantu Raya Tok Chai,Opie Zami,"Saiful Apek, Intan Ladyana, Sathiya, Azrul Cham, Amir Raja Lawak, Sobri Anuar, Kuswadinata",Comedy / Horror,3Line Media,,2013,140
Mencari Cinta,Shirin Khuzaimi,"Rusdi Ramli, Nora Danish, Riezman Khuzaimi, Connie Ahmad",Romance,Armnet Integrated,,2013,141
Bisikan Syaitan,Faizul A. Rashid,"Fizz Fairuz, Nabila Huda, Wan Sharmila, Azam Pitt",Horror,Primeworks Studios,,2013,142
Kaliyugha,S. T. Bala,"S. T. Bala, Geethanjali, Sharmini Ramesh",Drama,"Fenomena Seni Produksi
Tamil-language film",,2013,143
99 Kali Rindu,Azhari Mohd Zain,"Aeril Zafrel, Wawa Zainal, Adey Syafrien, Fizo Omar, Diana Amir, Siti Aziz",Drama / Romance,MIG Pictures,,2013,144
O.M.K (Oh Mak Kau!),Nurul Ain Nordin,"Shuib Sepahtu, Jep Sepahtu, Nurul Ain Nordin, Syamsul Yusof, Didie Alias, Wan Maimunah, Yassin Yahya",Action / Comedy,Star Scope Production,,2013,145
Olli,P. Rameesh,"Pushpa Narayan, Shashi Tharan",Action / Science-Fiction,"Nova Rimbun
Tamil-language film",,2013,146
Bikers Kental,Helmi Yusof,"Zizan Razak, Awie, Zul Ariffin, Bront Palarae, Amerul Affendi, Sufian Mohamed, Pornwippa Watcharakaroon, Julangtip Sukkasem, Harun Salim Bachik",Comedy,Astro Shaw,,2013,147
KIL,Nik Amir Mustapha,"Redza Minhat, Cristina Suzanne Stockstill",Drama / Romance / Mystery,Primeworks Studios,,2013,148
"Bro, Nampak Motor Gua?",Mohd Razif Rashid,"Along Cham, Along Eyzendy, Mon Ryanti, Mamat Khalid, Shah Rempit, Fadzil Zahari",Action / Comedy,MIG Pictures,,2013,149
Lari,Ahmad Idham,"Aaron Aziz, Dira Abu Zahar, Erin Malek, Hazama Azmi",Action,Excellent Pictures,,2013,150
Pecah,Asrull Hisyam,"Tony Eusoff, Sofi Jikan, Izreen Azminda, Fizz Fairuz",Action / Thriller,Primeworks Studios,,2013,151
Tokak,Sabree Fadzil,"Abon, Joey Daud, Faiz Raja Lawak, Airis Yasmin, Kazar",Comedy / Horror,MIG Production,,2013,152
