Title,Director,Cast,Genre,Notes,Ref.,Year,index
Dia,"M. Jamil, Rizal Halim","M. Jamil, Mayumi Kasuga, Sofea Shaheera, Zamil Sadiq, Amirulshah Rozali",Horror / Mystery,Galaksi Seni,,2015,303
Oh! La La,Abdul Rahman Sallehuddin,"Syed Atiq, Nur Nazliah, Mohd Juhan",Animation / Musical,Infinite Motion,,2015,304
Gamatisme,Yeop Hitler,"Syazwan Zulkifli, Nabila Huda, Adeline Tsen",Horror,Pencil Pictures,,2015,305
Wira Wah,"Lee Lik-Chi, Brando Lee","Auguste Kwan, Mimi Chu, Crystal Lee, Dato' Lai Meng, Cathryn Lee, Michael Tong",Comedy,"12 B
Mandarin-language film",,2015,306
Darah Panas,Arjinder Singh,"Sharnaaz Ahmad, Sofi Jikan, Nur Fathia, Adam Corrie, Jalaluddin Hassan",Action / Romance,White Merpati Entertainment,,2015,307
Love Endures,Jovi Theng,"Liu Kai Chi, Emily Kong, Jovi Theng",Family / Romance,"Kingdom Works
Mandarin-language film",,2015,308
Papa's Shoe,M. Subash Abdullah,Veron Lin,Drama / Family,"Genius Parade
Mandarin-language film",,2015,309
Hold Me Tight,Ivy Too,"Remon Lim, Jazz Bai Lin, Yap Chin Fong, Wong Kam Tat",Drama,"Mahligai Masyhur
Mandarin-language film",,2015,310
Vere Vazhi Ille,M. S. Prem Nath,"Denes Kumar, Jasmine Micheal, Kristina Vinokree",Horror / Comedy,"Veedu Production
Tamil-language film",,2015,311
Courage to Dream,David Liew,"Koo Seow Choo, Lee Kwai Ying, Lee Yuen Yee, Wong Ker Fong",Family / Romance,"Mahligai Masyhur
Mandarin-language film",,2015,312
Suamiku Jatuh dari Langit,Eyra Rahman,"Qi Razali, Nora Danish, Shuk SYJ, Atikah Suhaimie",Comedy,MIG Pictures,,2015,313
Gangsterock: Kasi Sengat,Sofi Jikan,"Saiful Apek, Sofi Jikan, Izara Aishah, Aqasha, Khir Rahman, Sharifah Amani, Julia Ziegler, Syafie Naswip",Action / Drama,YKS Film Maker,,2015,314
CCTV,Daven R.,"Aeril Zafrel, Hasnul Rahmat, Ardel Aryana, Jeff Omar",Horror,Cinemaya Studios,,2015,315
"Ciliwung, Gudnite",Dede Ferdinan,"Maria Farida, Dewi Amanda, Rya Nightingale, Ferly Putra",Horror / Drama / Romance,Sheunik,,2015,316
Nota,Yasu Tanaka,"Hans Isaac, Maya Karin, Ramli Hassan, Rin Izzumi",Crime / Drama / Mystery,42nd Pictures,,2015,317
Misi Rayyan dan Danish: Jangan Ambil Rumah Kami,Azaromi Ghozali,"Intan Ladyana, Azwan Kombos, Hanif Safuan, Sharisa Haris",Comedy,Mangkin Prestij,,2015,318
The Noise,Adrian Teh,"Adrian Teh, Lenna Lim, Phoebe Huang",Mystery / Romance,"Asia Tropical Films
Mandarin-language film",,2015,319
